Reason,Source,Validation,Pages
Page with redirect,Website,Failed,42
Crawled - currently not indexed,Google systems,Failed,21
Alternative page with proper canonical tag,Website,Not Started,38
Excluded by ‘noindex’ tag,Website,Not Started,1
Not found (404),Website,Started,2
Redirect error,Website,Started,1
