Date,Clicks,Impressions,CTR,Position
2026-06-22,3,69,4.35%,8.6
2026-06-23,2,64,3.12%,7.3
2026-06-24,5,121,4.13%,7.4
2026-06-25,2,81,2.47%,10.4
2026-06-26,0,59,0%,9.3
2026-06-27,0,103,0%,6.9
2026-06-28,3,129,2.33%,7.8
2026-06-29,0,103,0%,8.3
